time_s,sensor_v,clean_reference_v
0.0,0.010128180411813991,0.0
0.001,0.21506035192586276,0.04019396836808918
0.002,0.35571374724069,0.08027753344760212
0.003,0.573751716969991,0.1201408028446877
0.004,0.6448418335984862,0.1596749031668504
0.005,0.6364713719804397,0.1987724825691203
0.006,0.6525825399793026,0.23732820499876628
0.007,0.6580847496925266,0.2752392334443862
0.008,0.5433882958718208,0.3124056995572352
0.009,0.5344403368195494,0.3487311570895235
0.01,0.39858703755943914,0.3841230166856957
0.011,0.28969366863348284,0.4184929596678678
0.012,0.2147321117542858,0.4517573285750662
0.013,0.18869304021302302,0.483837492346987
0.014,0.09352296594064438,0.5146601841859633
0.015,0.08963619544998595,0.5441578102848413
0.016,0.20464208037277865,0.5722687277726947
0.017,0.27358185957469155,0.5989374904037723
0.018,0.34677250354987404,0.624115060696836
0.019,0.5089087978986692,0.6477589874210348
0.02,0.6776487841571847,0.6698335475196329
0.021,0.8438400170160705,0.6903098517631445
0.022,0.9194052831216345,0.7091659136275863
0.023,1.028744944257159,0.7263866811004951
0.024,1.1344438627786069,0.7419640313258858
0.025,1.167307190487815,0.7558967282082687
0.026,1.1704128150779398,0.7681903433040208
0.027,1.168303213686947,0.7788571405346204
0.028,1.0456621227379854,0.787915925459362
0.029,0.9423052917131233,0.7953918600439892
0.03,0.7523441076534255,0.8013162440551159
0.031,0.648202928811667,0.8057262643972309
0.032,0.5676516568266434,0.8086647138884625
0.033,0.46992013200042143,0.8101796811420761
0.034,0.3533658279216092,0.8103242133819448
0.035,0.3656224496262195,0.8091559541710374
0.036,0.4667152399779466,0.8067367581714725
0.037,0.43837072054313636,0.8031322851820883
0.038,0.5061807344367553,0.7984115758140662
0.039,0.6466384682230487,0.7926466112662618
0.04,0.7895989440500568,0.7859118597489837
0.041,0.9112947244186133,0.7782838121775084
0.042,1.0330896853187908,0.7698405098142374
0.043,1.0669808421720077,0.760661066580755
0.044,1.1402954021172769,0.7508251887878958
0.045,1.1844392855602794,0.7404126950431393
0.046,1.150867752622062,0.7295030390901405
0.047,1.05958491478935,0.7181748383150236
0.048,0.9639282307068747,0.7065054106183197
0.049,0.8360685639856201,0.6945703223003261
0.05,0.7180194878024859,0.6824429495415054
0.051,0.5271679391009292,0.6701940559786965
0.052,0.4093521534631649,0.6578913887828475
0.053,0.2598776360091598,0.6455992955352433
0.054,0.22828676068852735,0.6333783640774071
0.055,0.18631429928020157,0.6212850873757073
0.056,0.2160288030903339,0.6093715552959603
0.057,0.26216594605586796,0.5976851750268145
0.058,0.3453144831079647,0.586268421724332
0.059,0.43216427695986115,0.5751586207748998
0.06,0.5741853319721636,0.5643877628903852
0.061,0.7355803576661665,0.5539823530593787
0.062,0.7823836749379841,0.5439632941824832
0.063,0.8732671423399192,0.5343458060190672
0.064,0.9603720681196475,0.525139379868814
0.065,0.9829589568155748,0.5163477692049566
0.066,0.9029801886306946,0.507969016268436
0.067,0.8610626593567758,0.49999551442458207
0.068,0.753157518439889,0.4924141058774285
0.069,0.535652656977246,0.48520621413265885
0.07,0.46956425082920344,0.47834801039955505
0.071,0.3264602521437132,0.47181061292637705
0.072,0.1946452368288774,0.4655603180734108
0.073,0.15213778525896288,0.4595588617445978
0.074,-0.022843654649933577,0.4537637096232404
0.075,-0.034856528357441074,0.44812837449074344
0.076,-0.0898605055149008,0.4426027587506918
0.077,0.05383920601893208,0.4371335201346238
0.078,0.15133535273485807,0.43166445843151136
0.079,0.2666801864388429,0.42613692096093914
0.08,0.46479731798035767,0.4204902244010077
0.081,0.5881444388488544,0.4146620904866492
0.082,0.6762067255152603,0.4085890930129543
0.083,0.7514402388387617,0.4022071135116295
0.084,0.8644748219744202,0.3954518029173262
0.085,0.8374687321110643,0.3882590465044984
0.086,0.7758100601310204,0.38056542935493953
0.087,0.6677163999806348,0.3723086996112898
0.088,0.6102790105584317,0.3634282267826458
0.089,0.5231088445505222,0.3538654523948902
0.09,0.43462587790202506,0.343564330320301
0.091,0.1958785205570898,0.3324717541782374
0.092,0.02542038513438027,0.32053796927080497
0.093,-0.10373928919601055,0.3077169666040845
0.094,-0.11193037983443402,0.29396685664616096
0.095,-0.24133442150802809,0.27925022058734267
0.096,-0.14242719128174325,0.26353443699488005
0.097,-0.08455720132466779,0.24679198189354193
0.098,-0.018051484948593856,0.22900070045370366
0.099,0.062299934283125816,0.21014404862939423
0.1,0.21280892940090446,0.19021130325903082
0.101,0.31509292163429065,0.16919773932043203
0.102,0.38048318307531076,0.14710477321812326
0.103,0.5620142115375498,0.1239400711738232
0.104,0.5136258791377184,0.09971762198932016
0.105,0.555487865671466,0.07445777365346973
0.106,0.37941809449574104,0.04818723347075082
0.107,0.4360555143763691,0.020939031596404728
0.108,0.31600636138938826,-0.007247551928408452
0.109,0.10392390261373063,-0.03632709634006104
0.11,-0.04389734361724447,-0.06624818500675381
0.111,-0.21367062546675356,-0.096953585262328
0.112,-0.4185951686258212,-0.1283804623085798
0.113,-0.5026333813316533,-0.16046062608050043
0.114,-0.6534414609081449,-0.1931208097804233
0.115,-0.7006332555517127,-0.2262829786058997
0.116,-0.6427623736275594,-0.2598646670232321
0.117,-0.6188506826156638,-0.29377934277494566
0.118,-0.6206951792722912,-0.3279367956560448
0.119,-0.5306442501602869,-0.36224354895151756
0.12,-0.4224271553953504,-0.39660329129704286
0.121,-0.26255409647962763,-0.4309173266069738
0.122,-0.24058106730987763,-0.46508503960907543
0.123,-0.12067822140460643,-0.49900437443477
0.124,-0.07472301887917362,-0.5325723236373643
0.125,-0.11921524296096189,-0.5656854249492379
0.126,-0.12986228283529974,-0.5982402630427157
0.127,-0.27824873283938517,-0.6301339735285189
0.128,-0.4053156069186508,-0.6612647464105077
0.129,-0.5915645279925075,-0.6915323262159595
0.13,-0.6801514121320861,-0.7208385060368934
0.131,-0.9188060780977187,-0.7490876127498359
0.132,-1.026699471551777,-0.7761869807287645
0.133,-1.1689577015822703,-0.8020474114285063
0.134,-1.2966703711505168,-0.826583616293231
0.135,-1.324078766289365,-0.8497146405364322
0.136,-1.2440248082156398,-0.8713642654444507
0.137,-1.247452732737856,-0.8914613869745089
0.138,-1.2148097457360498,-0.9099403685497638
0.139,-1.0535858820720625,-0.9267413660972855
0.14,-0.9476551847931062,-0.9418106235293268
0.141,-0.6778812334743862,-0.9551007370328768
0.142,-0.6906625695210781,-0.9665708867063799
0.143,-0.6273543806785655,-0.9761870342646364
0.144,-0.49914553667797795,-0.983922085722281
0.145,-0.6133974648534782,-0.9897560181617644
0.146,-0.5619277313042816,-0.9936759698923454
0.147,-0.5518415062551283,-0.9956762935110985
0.148,-0.7359031794269676,-0.995758571584191
0.149,-0.9242059891927168,-0.9939315948755201
0.15,-1.0060480218354555,-0.9902113032590308
0.151,-1.0654976154898403,-0.984620689659477
0.152,-1.2266502472516516,-0.9771896675728702
0.153,-1.3655667947704218,-0.9679549029211946
0.154,-1.4123447558149997,-0.9569596111950194
0.155,-1.4166413318772608,-0.9442533210312682
0.156,-1.3434191225311918,-0.9298916055605324
0.157,-1.2244655851890287,-0.9139357830378484
0.158,-1.1188590314614715,-0.8964525884418261
0.159,-0.998330978072768,-0.8775138178884083
0.16,-0.9104617382587661,-0.8571959478564659
0.161,-0.7496393844530488,-0.8355797313620374
0.162,-0.5269163289653404,-0.8127497733455044
0.163,-0.4785552840992383,-0.7887940876506497
0.164,-0.34485088658562146,-0.7638036380756972
0.165,-0.27570584821610816,-0.7378718660635553
0.166,-0.32862253515273315,-0.7110942076710445
0.167,-0.3604804484201164,-0.6835676025144873
0.168,-0.3946514764824706,-0.6553899974313689
0.169,-0.46745618865490846,-0.626659847624594
0.17,-0.5550148672504375,-0.5974756180669871
0.171,-0.6827107980170157,-0.5679352879391101
0.172,-0.7996929605851161,-0.5381358608531916
0.173,-0.9020783211910791,-0.5081728835800708
0.174,-0.94895168811147,-0.4781399759448708
0.175,-0.9185634580239095,-0.4481283744907436
0.176,-0.8298045013626593,-0.4182264924290625
0.177,-0.7391121975027849,-0.3885194982991521
0.178,-0.7075883586123515,-0.3590889156517316
