time_s,accelerometer_g
0.0,0.02437736638035451
0.002,-0.0206364029835103
0.004,0.143474466156616
0.006,0.14392354247390604
0.008,-0.09109891045301195
0.01,0.0017645831990801275
0.012,0.183535625795099
0.014,0.19255209446444838
0.016,0.21440383729442286
0.018,0.12759179372140417
0.02,0.2767301571932258
0.022,0.3217571676357897
0.024,0.32257365435323326
0.026,0.42521468543813895
0.028,0.35010411899403737
0.03,0.22604119472947828
0.032,0.34866520231499726
0.034,0.29685495315029087
0.036,0.47987722632403024
0.038,0.3943237411458982
0.04,0.3486341755090246
0.042,0.2995757841796999
0.044,0.4861346440511807
0.046,0.42022383773448974
0.048,0.40575680600245667
0.05,0.3763378131484152
0.052,0.41023792457457714
0.054,0.4003110599381576
0.056,0.44168422274221236
0.058,0.4681362698277469
0.06,0.5837957376397
0.062,0.3307337636602662
0.064,0.29425618386804175
0.066,0.2871324559345019
0.068,0.43467670256738233
0.07,0.4767827283938953
0.072,0.3341718616625495
0.074,0.2266834241771169
0.076,0.21697338764128707
0.078,0.36254071894150686
0.08,0.3915932663952748
0.082,0.3534662095372133
0.084,0.2032304122866586
0.086,0.23852402406168507
0.088,0.23880970085216205
0.09,0.27890134917687537
0.092,0.3364026079172638
0.094,0.24515530171673375
0.096,0.23121997788961282
0.098,0.1678881514107201
0.1,0.21334085515422968
0.102,0.2690739594265934
0.104,0.0894558726601409
0.106,0.13320525345366757
0.108,0.08602977518428276
0.11,0.08326849486701435
0.112,0.15080287799848321
0.114,0.3094215063386357
0.116,0.09241564957777353
0.118,0.19475655633488173
0.12,-0.029641396234846712
0.122,0.11017670935985424
0.124,0.1882745533355224
0.126,0.22214963934515086
0.128,0.19379940598865347
0.13,0.16814989532937985
0.132,0.08855873508286619
0.134,0.1229204205637453
0.136,0.25524092375814217
0.138,0.15221857130875838
0.14,0.024247484942221953
0.142,0.02132613108159509
0.144,0.06906432270789138
0.146,0.22418461627065853
0.148,0.20185277823777426
0.15,0.20974732551289543
0.152,0.08386593365108078
0.154,0.13524288435820903
0.156,0.2118524721941637
0.158,0.16414571663328792
0.16,0.2066021267331017
0.162,0.07041486835698679
0.164,0.0688551822312142
0.166,0.08678327260112363
0.168,0.05699539280754577
0.17,0.19448985016263073
0.172,0.07611281028103617
0.174,0.06597806859614844
0.176,0.09247024162904663
0.178,0.11648596334474313
0.18,0.15393561812617057
0.182,0.06804406532258957
0.184,-0.015174350566241245
0.186,-0.02897793781006877
0.188,-0.15395150918059397
0.19,-0.1098343377433438
0.192,-0.10278804529735353
0.194,-0.12551737502837312
0.196,-0.07460335832642435
0.198,-0.20505000893536776
0.2,-0.14781005478164533
0.202,0.0010464114071351838
0.204,-0.1585828095255478
0.206,-0.13385105104459785
0.208,-0.3189656035319359
0.21,-0.2669782371307445
0.212,-0.3056653434587317
0.214,-0.2577784765008691
0.216,-0.20989783243001792
0.218,-0.47819950204171763
0.22,-0.3361066261685709
0.222,-0.3382906088519301
0.224,-0.3847171458368891
0.226,-0.4706124506114693
0.228,-0.40466772151179675
0.23,-0.5014370459001016
0.232,-0.44421197036110144
0.234,-0.43209581356377996
0.236,-0.29227108075641917
0.238,-0.4705512212880003
0.24,-0.5849158051263919
0.242,-0.5117876285389933
0.244,-0.4849190652758471
0.246,-0.35713472954032927
0.248,-0.39616937502387495
0.25,-0.47145031526803916
0.252,-0.41830020759675784
0.254,-0.6226118393274553
0.256,-0.5338037316403796
0.258,-0.5216727745896454
0.26,-0.4871979697857065
0.262,-0.6000779568228007
0.264,-0.44944345459120183
0.266,-0.4810717651883311
0.268,-0.5257268023553949
0.27,-0.4642394343679886
0.272,-0.3753303156477471
0.274,-0.3554239308690038
0.276,-0.24499291208596352
0.278,-0.11417380107278138
0.28,-0.2616232416865474
0.282,-0.3644131493145834
0.284,-0.47713615009988825
0.286,-0.28908105171557963
0.288,-0.3332391606188497
0.29,-0.2367489931323122
0.292,-0.2146609529976358
0.294,-0.18422037646208728
0.296,-0.10644433279968576
0.298,-0.1627141312174047
0.3,-0.13024783742159035
0.302,-0.14307782053534698
0.304,-0.17891887261858436
0.306,-0.10453745251930888
0.308,-0.07985766043276228
0.31,0.10034623295349526
0.312,0.029997501182015825
0.314,0.13586081821854948
0.316,0.008195830728932929
0.318,-0.07363636570431385
0.32,-0.052589052873854306
0.322,0.012718725414343102
0.324,0.2918343215515483
0.326,0.06681383880014369
0.328,0.1707174751110167
0.33,0.007213356149209815
0.332,0.17242463701031344
0.334,0.17756834562423318
0.336,0.16521059641803448
0.338,0.1586482354796215
0.34,0.0706542719107596
0.342,0.14599623587117838
0.344,0.10551137127632497
0.346,0.0861523073927545
0.348,0.088197303609716
0.35,0.1683155306052445
0.352,0.2443998556676824
0.354,0.1355700264101689
0.356,0.15302463047241766
0.358,0.21343817942837184
