time_s,motor_current_a
0.0,1.2103274362209144
0.0005,1.235733601110632
0.001,1.4625650124374594
0.0015,1.3755158784704073
0.002,1.5812359971359777
0.0025,1.667293670966583
0.003,1.366962257922577
0.0035,1.194673720137257
0.004,0.964101602549994
0.0045,1.0147036348205325
0.005,1.2921592536767252
0.0055,0.966672201580399
0.006,0.9558338800273027
0.0065,1.0003016939491503
0.007,1.075302977949483
0.0075,0.968303471105107
0.008,1.070863953096191
0.0085,1.271183940728364
0.009,1.3387636370864857
0.0095,1.4281210296343312
0.01,1.54101494903829
0.0105,1.4737968982964462
0.011,1.5942610692324568
0.0115,1.3524608137777239
0.012,1.370408995200748
0.0125,1.1116436181325144
0.013,1.2347648191295388
0.0135,1.0566672404975117
0.014,1.0959823897122476
0.0145,1.051116128024817
0.015,0.9426856928932482
0.0155,1.1927472175613398
0.016,1.1787785220069835
0.0165,1.2911995469710305
0.017,1.4025822381469988
0.0175,1.6255441051173198
0.018,1.3666837071397895
0.0185,1.639696819897195
0.019,1.3453772969102928
0.0195,1.3113738129669985
0.02,1.3568438226354553
0.0205,1.3775266814961549
0.021,1.104505200168704
0.0215,1.1278815664654045
0.022,1.128462108876558
0.0225,1.0241010233647463
0.023,1.0600721768277042
0.0235,1.2906692790792764
0.024,1.026598145885398
0.0245,1.016049681894236
0.025,1.107431206261094
0.0255,1.3520678976455394
0.026,1.3954671593304198
0.0265,1.5738293652947035
0.027,1.5446738497133934
0.0275,1.3850730388673298
0.028,1.553897982794973
0.0285,1.2214115709842295
0.029,1.2422644360736603
0.0295,1.2837571327304511
0.03,1.2625186439296388
0.0305,1.2339369396646345
0.031,1.0723012908945422
0.0315,1.076339572255141
0.032,0.8969858772448849
0.0325,1.116435108534481
0.033,1.2381089215819274
0.0335,1.451555055807979
0.034,1.2708661230619296
0.0345,1.4309032666015522
0.035,1.6181945611817252
0.0355,1.2261183009155001
0.036,1.4662202130713897
0.0365,1.450406068425716
0.037,1.2334358308726348
0.0375,1.2114598599575548
0.038,1.1104684788537142
0.0385,1.112368779188245
0.039,1.0426619179692231
0.0395,0.9493844335716773
0.04,0.8992556738565699
0.0405,0.9601582458459577
0.041,1.0428321968545922
0.0415,1.3959669032625799
0.042,1.3217290356039402
0.0425,1.5185308258859598
0.043,1.4875125929789355
0.0435,1.4784402804272867
0.044,1.3087057502894919
0.0445,1.2452205345139222
0.045,1.2144611792016868
0.0455,1.306936411594309
0.046,1.3617465697186835
0.0465,1.0346388673005933
0.047,1.097872063208049
0.0475,0.9400196255168314
0.048,0.9821112236896437
0.0485,1.0884209819034978
0.049,0.9736415694934397
0.0495,1.118376253694795
0.05,1.4160570699143276
0.0505,1.463727818115581
0.051,1.4467183271416548
0.0515,1.5760908961248237
0.052,1.4497300753753362
0.0525,1.5063383566023485
0.053,1.4397224996137694
0.0535,1.190910748093996
0.054,1.3042760225113494
0.0545,1.2405189157669072
0.055,1.260096826717548
0.0555,1.221509206304882
0.056,1.109269827333397
0.0565,0.9728789348011838
0.057,1.0886551472039692
0.0575,0.969020311831081
0.058,1.0471564590358093
0.0585,1.01218210009259
0.059,1.462010494366396
0.0595,1.4706510522495884
0.06,1.6067080495761643
0.0605,1.3250509410239693
0.061,1.3830862453020294
0.0615,1.4221014790735769
0.062,1.2186017514378387
0.0625,1.3257784886036723
0.063,1.1924146520614367
0.0635,1.1913369087767098
0.064,1.1813871799337936
0.0645,1.1427580545120546
0.065,1.011938527165444
0.0655,0.9353783213065897
0.066,1.0547130352794238
0.0665,1.3014760496730795
0.067,1.2881003448219908
